refdes,stream,timestamp
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-15
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-19
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-23
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-20
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-16
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-21
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-22
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-25
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-26
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-29
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-30
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-01
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-24
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-27
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-28
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-07-31
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-05
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-06
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-08
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-03
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-02
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-04
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-07
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-10
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-13
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-14
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-09
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-12
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-16
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-11
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-17
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-15
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-18
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-19
