refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE04OSPS-SF01B-3A-FLORTD104,,,,,,,,,,,,,,,,,13%,,,,,,,,,94%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%,90%,100%,100%,100%,100%,100%,97%,100%,97%,100%,100%,100%
CE04OSPS-SF01B-3B-OPTAAD105,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,42%,100%,100%,100%,100%,100%,29%,,,,,
CE04OSPS-SF01B-3C-PARADA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSPS-SF01B-3D-SPKIRA102,,,,,,,,,,,,,,,,,,,,,,,,,,94%,100%,100%,70%,,,,,,,,42%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE04OSPS-SF01B-4A-NUTNRA102,,,,,,,,,,,,,,,,,,,,,,,,,,94%,100%,100%,100%,100%,100%,100%,100%,80%,100%,100%,45%,97%,93%,77%,,58%,71%,100%,100%,100%,100%,100%
CE04OSPS-SF01B-4B-VELPTD106,,,,,,,,,,,,,,,,,,,,,,,,,,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,45%,100%,100%,100%,100%,94%,100%,100%,100%,100%,100%
CE04OSPS-SF01B-4F-PCO2WA102,,,,,,,,,,,,,,,,,,,,,,,,,,94%,100%,97%,100%,100%,100%,100%,100%,73%,100%,100%,87%,100%,93%,81%,70%,97%,65%,96%,100%,100%,100%,100%
CE04OSSM-RID26-01-ADCPTC000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,81%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE04OSSM-RID26-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,55%,,,,,,,52%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE04OSSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,81%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE04OSSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,29%,,,,,,,,,,,,,
CE04OSSM-RID26-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,,70%,84%,87%,87%,84%,87%,87%,83%,87%,84%,86%,87%,87%,68%,87%,84%,87%,87%,84%,87%,94%,94%,100%,61%,,,
CE04OSSM-RID27-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,70%,84%,87%,87%,84%,87%,87%,83%,87%,84%,86%,87%,87%,68%,87%,84%,87%,87%,84%,87%,87%,77%,86%,52%,,,
CE04OSSM-RID27-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,70%,84%,87%,87%,84%,87%,87%,83%,87%,84%,86%,87%,87%,68%,87%,84%,87%,87%,84%,87%,94%,94%,100%,61%,,,
CE04OSSM-RID27-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,74%,,6%,3%,52%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE04OSSM-RID27-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,70%,84%,87%,87%,84%,87%,87%,83%,87%,84%,86%,87%,87%,68%,87%,84%,87%,87%,84%,87%,94%,94%,100%,61%,,,
