refdes,method,stream,parameter
RS03AXPD-DP03A-02-VEL3DA303,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_northward_velocity
RS03AXPD-DP03A-02-VEL3DA303,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_ascending
RS03AXPD-DP03A-02-VEL3DA303,recovered_inst,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_descending
RS03AXPD-DP03A-02-VEL3DA303,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_eastward_velocity
RS03AXPD-DP03A-02-VEL3DA303,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_northward_velocity
RS03AXPD-DP03A-02-VEL3DA303,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_ascending
RS03AXPD-DP03A-02-VEL3DA303,recovered_wfp,dpc_acm_instrument_recovered,vel3d_a_upward_velocity_descending
RS03AXPD-DP03A-03-FLCDRA302,recovered_inst,dpc_flcdrtd_instrument_recovered,flcdr_x_mmp_cds_fluorometric_cdom
RS03AXPD-DP03A-03-FLCDRA302,recovered_wfp,dpc_flcdrtd_instrument_recovered,flcdr_x_mmp_cds_fluorometric_cdom
RS03AXPD-DP03A-03-FLNTUA302,recovered_inst,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_total_volume_scattering_coefficient
RS03AXPD-DP03A-03-FLNTUA302,recovered_inst,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_fluorometric_chlorophyll_a
RS03AXPD-DP03A-03-FLNTUA302,recovered_inst,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_bback_total
RS03AXPD-DP03A-03-FLNTUA302,recovered_wfp,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_total_volume_scattering_coefficient
RS03AXPD-DP03A-03-FLNTUA302,recovered_wfp,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_fluorometric_chlorophyll_a
