"reference_designator","method","name","id","name","unit"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2820","ctdbp_seawater_pressure","dbar"
"CE01ISSM-SBD17-06-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2821","ctdbp_seawater_conductivity","S m-1"
"CE01ISSM-SBD17-06-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","1","conductivity","S m-1"
"CE01ISSM-SBD17-06-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","2","pressure","dbar"
"CE01ISSM-SBD17-06-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","5","density","kg m-3"
"CE01ISSM-SBD17-06-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","6","temp","deg_C"
"CE01ISSM-SBD17-06-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","13","practical_salinity","1"
"CE01ISSM-SBD17-06-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","21","seawater_scattering_coefficient","m-1"
"CE01ISSM-SBD17-06-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","22","fluorometric_chlorophyll_a","µg L-1"
"CE01ISSM-SBD17-06-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","23","fluorometric_cdom","ppb"
"CE01ISSM-SBD17-06-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","25","optical_backscatter","m-1"
"CE01ISSM-SBD17-06-FLORTD000","telemetered","flort_dj_dcl_instrument","21","seawater_scattering_coefficient","m-1"
"CE01ISSM-SBD17-06-FLORTD000","telemetered","flort_dj_dcl_instrument","22","fluorometric_chlorophyll_a","µg L-1"
"CE01ISSM-SBD17-06-FLORTD000","telemetered","flort_dj_dcl_instrument","23","fluorometric_cdom","ppb"
"CE01ISSM-SBD17-06-FLORTD000","telemetered","flort_dj_dcl_instrument","25","optical_backscatter","m-1"
"CE01ISSP-SP001-02-DOSTAJ000","recovered_cspp","dosta_abcdjm_cspp_instrument_recovered","14","dissolved_oxygen","µmol kg-1"
"CE01ISSP-SP001-02-DOSTAJ000","recovered_cspp","dosta_abcdjm_cspp_instrument_recovered","940","estimated_oxygen_concentration","umol L-1"
"CE01ISSP-SP001-02-DOSTAJ000","recovered_cspp","dosta_abcdjm_cspp_instrument_recovered","2843","dosta_abcdjm_cspp_tc_oxygen","umol L-1"
"CE01ISSP-SP001-02-DOSTAJ000","telemetered","dosta_abcdjm_cspp_instrument","14","dissolved_oxygen","µmol kg-1"
"CE01ISSP-SP001-02-DOSTAJ000","telemetered","dosta_abcdjm_cspp_instrument","940","estimated_oxygen_concentration","umol L-1"
"CE01ISSP-SP001-02-DOSTAJ000","telemetered","dosta_abcdjm_cspp_instrument","2843","dosta_abcdjm_cspp_tc_oxygen","umol L-1"
"CE01ISSP-SP001-04-OPTAAJ000","recovered_cspp","optaa_dj_cspp_instrument_recovered","19","beam_attenuation","m-1"
