node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
GS01SUMO-SBD12,,,,,,,,,,,,,,,,,,,,0.2797619047619047,0.8064516129032259,0.8055555555555555,0.6720430107526881,0.16666666666666666,0.23118279569892475,0.6344086021505376,0.5888888888888889,0.6397849462365591,0.6333333333333333,0.7150537634408604,0.8064516129032259,0.8103448275862069,0.8118279569892474,0.8111111111111112,0.8064516129032259,0.8111111111111112,0.7473118279569894,0.7526881720430106,0.8055555555555557,0.8064516129032259,0.7555555555555555,0.6505376344086021,0.6129032258064516,0.6190476190476191,0.6236559139784946,0.6111111111111112,0.6236559139784946,0.5222222222222223,0.446236559139785,0.4731182795698925,0.4777777777777778,,
GS02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45161290322580644,0.25806451612903225,,,,,,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41129032258064513,0.04032258064516129,,,,,,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3629032258064516,0.1532258064516129,,,,,,,,,,,,,,,,,,,,,,
GS03FLMA-RIM01,,,,,,,,,,,,,,,,,,,,0.10714285714285714,1.0,1.0,1.0,0.10256410256410257,,,,,,0.48387096774193566,0.8387096774193546,0.12997347480106106,,,,,,,,,,,,,,,,,,,,,
GS03FLMA-RIS01,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.7096774193548386,0.8111111111111112,0.6881720430107526,0.07777777777777778,,,,,,0.3118279569892473,0.4946236559139785,0.022988505747126436,,,,,,,,,,,,,,,,,,,,,
GS03FLMB-RIM01,,,,,,,,,,,,,,,,,,,,0.17857142857142855,1.0,1.0,0.9330024813895782,0.03333333333333333,,,,,,0.5161290322580643,1.0,0.23872679045092834,,,,,,,,,,,,,,,,,,,,,
GS03FLMB-RIS01,,,,,,,,,,,,,,,,,,,,0.17857142857142858,1.0,0.9888888888888889,0.8279569892473119,0.1111111111111111,,,,,,0.3333333333333333,0.6451612903225806,0.13793103448275865,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL486,,,,,,,,,,,,,,,,,,,,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3870967741935483,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870967741935483,0.8709677419354839,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870967741935483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5666666666666667,,,,,,,,,,,,
GS05MOAS-GL561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22580645161290322,1.0,1.0,0.967741935483871,1.0,0.5161290322580645,0.06666666666666667,,,,,,,,,,,,,,,,,
GS05MOAS-PG565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25268817204301075,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6277777777777778,0.6451612903225806,0.6666666666666666,0.6666666666666666,0.6451612903225806,0.24444444444444444,0.41397849462365593,0.044444444444444446,,,,,,,,,,,,
GS05MOAS-PG566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19354838709677416,0.5,0.5,0.5,0.5,0.5,0.5611111111111111,0.6666666666666666,0.3494623655913978,,,,,,,,,,,,,,,
